id,name,wholesalePrice,category,description,image,stock,unit,brand,size,price,wholesaleQuantity
104,Domee Peach Halves Syrup 12x425g,3010,Canned Foods,Peach halves in syrup - 12x425g,/images/products/domee-peach-halves-12x425g.jpg,30,12x425g,Domee,12x425g,3000,1
105,Domee Lychees 6x567g,2510,Canned Foods,Lychees in syrup - 6x567g,/images/products/domee-lychees-6x567g.jpg,25,6x567g,Domee,6x567g,2500,1
106,Domee Pear Halves In Syrup 6x425g,1510,Canned Foods,Pear halves in syrup - 6x425g,/images/products/domee-pear-halves-6x425g.jpg,30,6x425g,Domee,6x425g,1500,1
107,Velvex Aluminium Foil Catering Roll 1x30cmx60m,950,Canned Foods,Aluminium foil catering roll - 1x30cmx60m,/images/products/velvex-foil-30x60m.jpg,40,1x30cmx60m,Velvex,1x30cmx60m,940,1
108,Velvex Cling Film Catering Roll 1x30cmx300m,910,Canned Foods,Cling film catering roll - 1x30cmx300m,/images/products/velvex-cling-30x300m.jpg,35,1x30cmx300m,Velvex,1x30cmx300m,900,1
109,Velvex Cling Film Catering Roll 1x30cmx1500m,4010,Canned Foods,Cling film catering roll - 1x30cmx1500m,/images/products/velvex-cling-30x1500m.jpg,20,1x30cmx1500m,Velvex,1x30cmx1500m,4000,1
110,Velvex Aluminium Foil Catering 30cmX90m - 1 Roll,1310,Canned Foods,Aluminium foil catering roll - 30cmX90m,/images/products/velvex-foil-30x90m.jpg,30,1x30cmx90m,Velvex,1x30cmx90m,1300,1
130,Domee Pineapple Slices In Syrup 12x425g,3110,Canned Foods,Pineapple slices in syrup - 12x425g,/images/products/domee-pineapple-slices-12x425g.jpg,30,12x425g,Domee,12x425g,3100,1
131,Domee Fruit Cocktail In Syrup 12x425g,3210,Canned Foods,Fruit cocktail in syrup - 12x425g,/images/products/domee-fruit-cocktail-12x425g.jpg,25,12x425g,Domee,12x425g,3200,1
