id,name,wholesalePrice,category,description,image,stock,unit,brand,size,price,wholesaleQuantity
83,Mara Moja Painkiller Tablets 4x100s,2110,Baby and Personal Care,Painkiller tablets - 4x100s,/images/products/maramoja-tablets-4x100s.jpg,30,4x100s,Mara Moja,4x100s,2100,1
84,Kotex Ultrathin Sanitary Pads Super 16x8's,1810,Baby and Personal Care,Ultrathin sanitary pads super - 16x8's,/images/products/kotex-ultrathin-super-16x8.jpg,40,16x8's,Kotex,16x8's,1800,1
85,Kotex Tampons Regular 12x16's,3510,Baby and Personal Care,Tampons regular - 12x16's,/images/products/kotex-tampons-regular-12x16.jpg,35,12x16's,Kotex,12x16's,3500,1
86,Kotex Panty Liners 16x20's,3010,Baby and Personal Care,Panty liners - 16x20's,/images/products/kotex-pantyliners-16x20.jpg,40,16x20's,Kotex,16x20's,3000,1
87,Kotex Tampons Super 12x16's,3210,Baby and Personal Care,Tampons super - 12x16's,/images/products/kotex-tampons-super-12x16.jpg,35,12x16's,Kotex,12x16's,3200,1
88,Kotex Ultrathin Sanitary Pads Super Duos 16x16's,3110,Baby and Personal Care,Ultrathin sanitary pads super duos - 16x16's,/images/products/kotex-ultrathin-duos-16x16.jpg,40,16x16's,Kotex,16x16's,3100,1
129,Clincleer Sanitary Pads Carton (48 packets with 10 pads each),2010,Baby and Personal Care,Clincleer sanitary pads carton - 48 packets with 10 pads each,/images/products/clincleer-pads-48x10.jpg,15,48x10 pads,Clincleer,Carton of 48x10,2000,1
