id,name,wholesalePrice,category,description,image,stock,unit,brand,size,price,wholesaleQuantity
76,Pick N Peel Pure Fruit Juice Tetra Tropical Mix 12x1L,3010,Juices,Tropical mix fruit juice - 12x1L,/images/products/picknpeel-tropical-12x1l.jpg,40,12x1L,Pick N Peel,12x1L,3000,1
77,Pick N Peel Pure Fruit Juice Tetra Pineapple 12x1L,3010,Juices,Pineapple fruit juice - 12x1L,/images/products/picknpeel-pineapple-12x1l.jpg,40,12x1L,Pick N Peel,12x1L,3000,1
78,Pick N Peel Pure Fruit Juice Tetra Mango 12x1L,2910,Juices,Mango fruit juice - 12x1L,/images/products/picknpeel-mango-12x1l.jpg,40,12x1L,Pick N Peel,12x1L,2900,1
79,Pick N Peel Pure Fruit Juice Tetra Orange 12x1L,3810,Juices,Orange fruit juice - 12x1L,/images/products/picknpeel-orange-12x1l.jpg,35,12x1L,Pick N Peel,12x1L,3800,1
80,Pick N Peel Pure Fruit Juice Tetra Mango 12x250ml,510,Juices,Mango fruit juice - 12x250ml,/images/products/picknpeel-mango-12x250ml.jpg,50,12x250ml,Pick N Peel,12x250ml,500,1
81,Minute Maid Mango Juice 12x400ml,610,Juices,Mango juice - 12x400ml,/images/products/minutemaid-mango-12x400ml.jpg,45,12x400ml,Minute Maid,12x400ml,600,1
82,Minute Maid Apple Juice 12x400ml,610,Juices,Apple juice - 12x400ml,/images/products/minutemaid-apple-12x400ml.jpg,45,12x400ml,Minute Maid,12x400ml,600,1
