id,name,wholesalePrice,category,description,image,stock,unit,brand,size,price,wholesaleQuantity
15,BIRYANI RICE,2110,Rice,Premium Biryani rice - 25kg,/images/products/biriyani-rice-25kg.jpg,20,25kg,,25 Kilograms,2100,1
16,BASMATI RICE,2810,Rice,Premium Basmati rice - 25kg,/images/products/basmati-rice-25kg.jpg,15,25kg,,25 Kilograms,2800,1
17,PISHORI RICE,4010,Rice,Premium Pishori rice - 25kg,/images/products/pishori-rice-25kg.jpg,12,25kg,,25 Kilograms,4000,1
18,SINDANO RICE,2010,Rice,Quality Sindano rice - 25kg,/images/products/sindano-rice-25kg.jpg,18,25kg,,25 Kilograms,2000,1
